City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,14.45,87,85,10.92,NZ,1675717152
1,calama,-22.4667,-68.9333,20.27,45,75,9.77,CL,1675717225
2,menongue,-14.6585,17.691,17.41,83,99,1.43,AO,1675717424
3,buraydah,26.326,43.975,16.25,36,100,3.54,SA,1675717163
4,bambous virieux,-20.3428,57.7575,27.14,78,75,3.6,MU,1675717158
5,puerto ayora,-0.7393,-90.3518,29.98,74,51,6.71,EC,1675717424
6,cabo san lucas,22.8909,-109.9124,26.95,53,35,0.45,MX,1675717206
7,tinyahuarco,-10.75,-76.3,9.8,63,86,4.52,PE,1675717424
8,nikolskoye,59.7035,30.7861,-2.06,96,94,1.57,RU,1675717425
9,kalmunai,7.4167,81.8167,24.51,87,56,2.91,LK,1675717425
10,hithadhoo,-0.6,73.0833,27.32,71,63,5.34,MV,1675717426
11,nakanojo,36.5833,138.85,4.4,60,100,1.6,JP,1675717426
12,sitka,57.0531,-135.33,3.94,81,75,4.63,US,1675717426
13,ushuaia,-54.8,-68.3,12.81,67,75,7.2,AR,1675717427
14,codrington,-38.2667,141.9667,15.47,78,47,2.71,AU,1675717427
15,berea,41.3662,-81.8543,0.85,80,9,0.89,US,1675717191
16,portland,45.5234,-122.6762,10.79,80,100,4.92,US,1675717202
17,butaritari,3.0707,172.7902,27.44,79,59,8.87,KI,1675717428
18,dongsheng,39.8161,109.9776,-4.79,43,0,3.52,CN,1675717429
19,atuona,-9.8,-139.0333,25.61,76,5,6.54,PF,1675717429
20,hermanus,-34.4187,19.2345,22.11,91,12,3.09,ZA,1675717430
21,pisco,-13.7,-76.2167,27.03,74,0,8.23,PE,1675717430
22,anito,12.4497,125.2886,24.52,89,85,3.77,PH,1675717430
23,tuatapere,-46.1333,167.6833,15.39,79,91,2.48,NZ,1675717431
24,manokwari,-0.8667,134.0833,24.82,88,100,2.54,ID,1675717431
25,albany,42.6001,-73.9662,2.72,70,88,0.45,US,1675717359
26,busselton,-33.65,115.3333,19.21,76,97,5.22,AU,1675717432
27,ponta do sol,32.6667,-17.1,15.35,54,20,4.21,PT,1675717154
28,souillac,-20.5167,57.5167,27.21,78,75,3.6,MU,1675717433
29,hamilton,39.1834,-84.5333,9.8,51,0,2.06,US,1675717152
30,bredasdorp,-34.5322,20.0403,21.66,87,92,2.13,ZA,1675717434
31,sorong,-0.8833,131.25,25.68,83,100,1.98,ID,1675717434
32,yellowknife,62.456,-114.3525,-23.71,70,40,2.06,CA,1675717389
33,rikitea,-23.1203,-134.9692,25.87,74,60,3.37,PF,1675717362
34,ancud,-41.8697,-73.8203,16.96,66,0,2.63,CL,1675717433
35,port moresby,-9.4431,147.1797,23.68,94,75,5.14,PG,1675717435
36,arraial do cabo,-22.9661,-42.0278,27.98,65,75,2.06,BR,1675717161
37,goderich,43.7501,-81.7165,-1.82,74,48,2.06,CA,1675717215
38,punta arenas,-53.15,-70.9167,17.01,63,75,8.75,CL,1675717415
39,mataura,-46.1927,168.8643,19.27,52,63,4.72,NZ,1675717144
40,qaanaaq,77.484,-69.3632,-27.93,98,100,1.64,GL,1675717180
41,hobart,-42.8794,147.3294,14.47,73,20,1.03,AU,1675717208
42,saldanha,-33.0117,17.9442,18.03,97,69,7.53,ZA,1675717436
43,santo antonio do ica,-3.1022,-67.9397,26.46,91,99,0.72,BR,1675717369
44,thompson,55.7435,-97.8558,-7.91,79,100,5.14,CA,1675717436
45,mehamn,71.0357,27.8492,3.97,81,75,13.89,NO,1675717395
46,khatanga,71.9667,102.5,-40.52,100,57,1.6,RU,1675717151
47,cairns,-16.9167,145.7667,24.97,97,59,0.51,AU,1675717437
48,matay,28.419,30.7792,9.89,43,60,3.62,EG,1675717258
49,lazaro cardenas,17.9583,-102.2,28.04,58,0,4.89,MX,1675717322
50,cascavel,-24.9558,-53.4553,27.78,47,20,4.12,BR,1675716992
51,saskylakh,71.9167,114.0833,-31.74,100,98,1.41,RU,1675717437
52,castro,-24.7911,-50.0119,24.43,64,30,0.17,BR,1675717298
53,kilrush,52.6397,-9.4833,8.86,85,100,4.06,IE,1675717438
54,kjollefjord,70.9457,27.3465,4.03,81,75,13.89,NO,1675717438
55,tasiilaq,65.6145,-37.6368,-9.91,91,99,1.72,GL,1675717439
56,pangoa,-12.1167,-73.0,24.57,78,98,0.38,PE,1675717439
57,khadro,26.1472,68.7176,18.33,20,0,1.35,PK,1675717439
58,hilo,19.7297,-155.09,24.23,89,75,2.06,US,1675717431
59,nishihara,26.1842,127.7558,19.6,88,40,6.17,JP,1675717440
60,aurillac,44.9167,2.45,-0.51,79,0,1.54,FR,1675717441
61,baykit,61.67,96.37,-27.17,100,95,1.24,RU,1675717441
62,honiara,-9.4333,159.95,26.44,85,99,2.8,SB,1675717230
63,venafro,41.4834,14.0451,2.14,41,82,3.19,IT,1675717442
64,vagay,57.9375,69.0217,-18.81,100,100,1.25,RU,1675717443
65,faanui,-16.4833,-151.75,27.28,75,8,6.95,PF,1675717444
66,yaan,7.3833,8.5667,30.56,14,81,1.16,NG,1675717445
67,saint-augustin,51.226,-58.6502,-17.66,84,84,2.15,CA,1675717447
68,nkhotakota,-12.9274,34.2961,22.91,86,100,0.93,MW,1675717449
69,lompoc,34.6391,-120.4579,18.21,63,0,5.81,US,1675717449
70,vaini,-21.2,-175.2,26.35,73,100,2.1,TO,1675717151
71,tabou,4.423,-7.3528,26.22,82,100,3.78,CI,1675717450
72,saint-pierre,-21.3393,55.4781,25.82,78,0,3.09,RE,1675717451
73,port alfred,-33.5906,26.891,23.73,91,100,0.69,ZA,1675717452
74,makakilo city,21.3469,-158.0858,27.18,63,20,8.23,US,1675717453
75,cape town,-33.9258,18.4232,21.73,86,20,5.36,ZA,1675716813
76,georgetown,5.4112,100.3354,25.96,94,20,2.57,MY,1675717217
77,jamestown,42.097,-79.2353,-1.1,93,100,2.57,US,1675717454
78,mar del plata,-38.0023,-57.5575,22.01,58,0,8.23,AR,1675717426
79,kapaa,22.0752,-159.319,26.18,81,40,7.2,US,1675717455
80,upernavik,72.7868,-56.1549,-23.18,94,100,3.47,GL,1675717456
81,koumac,-20.5667,164.2833,28.15,77,98,1.46,NC,1675717457
82,cayenne,4.9333,-52.3333,26.02,83,100,6.17,GF,1675717179
83,nizwa,22.9333,57.5333,21.72,42,98,1.72,OM,1675717458
